gym_name,category,address,area,pincode,phone,website,google_rating,review_count,google_maps_url
"Fitness Fusion Gym (FWS)","Fitness center","Sanatan Chowk, Zero Degree Road, Rameshwaram Colony, Jabalpur MP 482002","Vijay Nagar","482002","+91 99938 21381","",4.8,5,"https://maps.google.com/?cid=ChIJ3Te6fuCxgTkR1MRtUbeo2KY"
"Pink Gym & Zumba Hub","Fitness center (Ladies)","D-38, near Shiv Temple, Yashwar Nagar, Kanchan Vihar, Vijay Nagar, Jabalpur MP 482002","Vijay Nagar","482002","+91 74402 28366","",4.4,34,"https://maps.google.com/?cid=ChIJ22H_W1yxgTkRTvLZvv0XfLE"
"Bodyline VS Fitness Gym","Gym","Gate no. 2, Ranital Chowk, Shree Tower, in front of Hanuman Temple, Wright Town, Jabalpur MP 482002","Wright Town","482002","+91 97551 33369","",4.5,59,"https://maps.google.com/?cid=ChIJJc9Trw-ugTkRtk912bZXV1c"
"Gymnasium Gym","Gym","Chandan Colony, Ganga Nagar, Jabalpur MP 482003","Ganga Nagar","482003","+91 93403 13103","",4.8,59,"https://maps.google.com/?cid=ChIJhy9O-qaxgTkR7AI3e1IM430"
"Evolve Fitness","Gym / CrossFit / Personal trainer","JDA Building, Plot 592, Sneh Nagar Rd, above Sukoon Sweets, near Labour Chowk, Jabalpur MP 482001","Sneh Nagar","482001","+91 74156 86150","",4.8,176,"https://maps.google.com/?cid=ChIJ-7gQrVKxgTkRqEj69DzQQb8"
"Fitness Era Gym","Gym","2, Shri Haichaya, near Hanuman Mandir, Ranipur, Jabalpur MP 482002","Ranipur","482002","+91 93018 87199","",4.8,32,"https://maps.google.com/?cid=ChIJN3QNYTCxgTkRF0cudpLY7fo"
"Sai Fitness","Gym","Garha Rd, Daya Nagar, Yadav Colony, Jabalpur MP 482002","Yadav Colony","482002","+91 91112 83829","",4.4,57,"https://maps.google.com/?cid=ChIJAwxa2fqxgTkRh7NYlkCRIP8"
"Fitness Zone Gym (Ladies Only)","Gym (Ladies)","Near Prem Mandir Rd, near Stadium, Wright Town, Jabalpur MP 482002","Wright Town","482002","","",4.9,11,"https://maps.google.com/?cid=ChIJj-D7CNSvgTkR7NqszOquvlw"
"Science College Gym","Gym","Govindh Bhavan Colony, South Civil Lines, Jabalpur MP 482001","South Civil Lines","482001","","http://www.sciencecollegejabalpur.org/",3.5,32,"https://maps.google.com/?cid=ChIJVVWF8oOugTkRKJGSQxF2JyI"
"Gym (ITI Chungi Naka)","Gym","Indra Jwellers ke Peeche, ITI Chungi Naka, South Civil Lines, Jabalpur MP 482001","South Civil Lines","482001","+91 84618 11068","",,,""
"Maruti Fitness","Gym","in front of Judicial Academy, BeoharBagh, Jabalpur MP 482001","BeoharBagh","482001","","",4.9,25,"https://maps.google.com/?cid=ChIJ3accTjivgTkRkB4G51Hq0fE"
"Ronnie Star Gym","Gym","H.No.2363, behind Gopi Medicoz, Lalmati, Jabalpur MP 482001","Lalmati","482001","","",5.0,10,"https://maps.google.com/?cid=ChIJ45hGAQCvgTkRzRH_I_QOdsw"
"Narmada Gym","Gym","Ghamapur Chowk, Jabalpur MP 482002","Ghamapur","482002","","",4.6,38,"https://maps.google.com/?cid=ChIJh4XSJGqugTkRp1RNeaufCRc"
"Pumping Iron Gym","Gym","Sarkari Kuaa, Kariya Pathar Tiraha, Lalmati, Jabalpur MP 482002","Lalmati","482002","+91 98937 47180","",5.0,6,"https://maps.google.com/?cid=ChIJu3mseOGvgTkR9QD3lZex10k"
"Jabalpur Gym City","Gym","Nai Basti, Ansar Nagar, Gohalpur, Jabalpur MP 482002","Gohalpur","482002","","",4.5,49,"https://maps.google.com/?cid=ChIJ9zvgQOqvgTkRN15kAEgcI3E"
"Unity Gym Jabalpur","Gym / Fitness center","Raddhi Chowki, Patan Rd, beside Geeta Ply Wood, Ansar Nagar, Gohalpur, Jabalpur MP 482002","Gohalpur","482002","+91 70003 88377","https://www.instagram.com/unity_gym_jabalpur",5.0,51,"https://maps.google.com/?cid=ChIJE-NSStyvgTkRFMVkak3eWPk"
"Gym Town","Gym","523, Marhatal, Jabalpur MP 482002","Marhatal","482002","+91 90090 32211","",4.6,30,"https://maps.google.com/?cid=ChIJN78ntfavgTkRx--gGeTYin4"
"PJ Fitness Studio","Fitness center / Gym","H.I.G. 1, near Head Post Office, Prestige Town, South Civil Lines, Jabalpur MP 482001","South Civil Lines","482001","+91 70000 97630","",4.2,19,"https://maps.google.com/?cid=ChIJ4ehuyIavgTkR4p0EuePPQbc"
"ENERGICA GYM","Gym","Anand Nagar, Adhartal, Jabalpur MP 482004","Adhartal","482004","+91 94258 39022","",4.9,271,"https://maps.google.com/?cid=ChIJW_pd5pivgTkRBhkq3EozI9w"
"Slim Gym - Unisex Fitness Studio","Gym","1204/1, Jai Prakash Nagar, Adhartal, Jabalpur MP 482004","Adhartal","482004","+91 70008 99794","",4.6,256,"https://maps.google.com/?cid=ChIJqUZGupOvgTkR3YLoHYC3dz0"
"J.P. Health Club","Gym","Jai Prakash Nagar, Adhartal, Jabalpur MP 482004","Adhartal","482004","","",3.6,55,"https://maps.google.com/?cid=ChIJiaF9kUyugTkRxyJAFyZS8OQ"
"Shri Ram Health Club","Gym","2842/2, New Kanchanpur, Kanchanpur, Jabalpur MP 482004","Kanchanpur","482004","+91 62607 88915","",4.9,9,"https://maps.google.com/?cid=ChIJ64YTR3-vgTkRJZzVle2cIDA"
"ROBIN HEALTH CLUB","Gym","Ghamapur, Jabalpur MP 482001","Ghamapur","482001","+91 90399 51554","",5.0,4,"https://maps.google.com/?cid=ChIJnyprI2GugTkRGpIjOIc9gK8"
"Pankaj Health Club","Gym","1687, Jhhmandas Chowk Road, Ghamapur Rd, Lalmati, Jabalpur MP 482001","Lalmati","482001","+91 87703 86637","",3.8,75,"https://maps.google.com/?cid=ChIJ8x9j9meugTkRoiJjbdGtO3o"
"BADAL'S FITNESS CLUB","Gym","Ghamapur, Jabalpur MP 482001","Ghamapur","482001","+91 78692 53030","",5.0,17,"https://maps.google.com/?cid=ChIJ6_cNT-uvgTkRHk_E2Hkp6bM"
"City Health Centre and Aerobics","Gym / Aerobics","RTO Road, near Narmada Jackson Hotel, South Civil Lines, Jabalpur MP 482001","South Civil Lines","482001","+91 93010 80630","",4.1,32,"https://maps.google.com/?cid=ChIJC8PRoXuugTkRYPpPu5Q8W38"
"Kumbhare Health Club","Gym / Fitness center","R.L Complex, Cherital, Jabalpur MP 482002","Cherital","482002","+91 95232 42525","",3.6,97,"https://maps.google.com/?cid=ChIJk2umnCOugTkRjHRBdIbHcNE"
"Z R Health Club & Fitness Centre","Gym","Momin Eidgah, Azad Bagh Turiha, Gohalpur, Jabalpur MP 482002","Gohalpur","482002","+91 78691 92123","",3.7,26,"https://maps.google.com/?cid=ChIJs0ONAzqugTkRbtCWxw790wU"
